Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy,Label
422650,1,0.61,-2.14,44,No Fall
422850,1,0.41,-2.69,52,No Fall
423050,1,0.86,0.05,61,No Fall
423250,1,1.31,-3.83,41,No Fall
423450,1,0.93,-3.79,52,No Fall
423650,1,0.88,-2.36,74,No Fall
423850,1,0.55,-2.81,74,No Fall
424050,1,0.22,-3.05,45,No Fall
424250,1,1.51,-3.84,50,No Fall
424450,1,1.13,-3.81,85,No Fall
424650,1,0.56,-3.79,65,No Fall
424850,1,0.43,-3.67,41,No Fall
425050,1,0.49,0.07,70,No Fall
425250,1,0.55,0.03,74,No Fall
425450,1,0.61,0.02,43,No Fall
425650,1,0.59,-0.94,100,No Fall
425850,1,0.59,-0.55,42,No Fall
426050,1,0.58,-0.34,51,No Fall
426250,1,0.49,-0.75,40,No Fall
426450,1,1.5,-3.84,73,No Fall
426650,1,1.12,-3.81,61,No Fall
426850,1,0.75,-3.77,72,No Fall
427050,1,0.4,-3.7,61,No Fall
427250,1,0.94,0.04,60,No Fall
427450,1,1.49,-3.84,74,No Fall
427650,1,1.11,-3.81,65,No Fall
427850,1,0.75,-3.77,58,No Fall
428050,1,0.4,-3.7,41,No Fall
428250,1,0.85,0.11,56,No Fall
428450,1,1.3,-3.83,74,No Fall
428650,1,1.06,-3.79,89,No Fall
428850,1,0.65,-3.74,68,No Fall
429050,1,0.28,-3.67,50,No Fall
429250,1,0.6,0.05,69,No Fall
429450,1,0.92,-1.93,45,No Fall
429650,1,0.62,-0.91,45,Fall
429850,1,0.55,-2.03,89,Fall
430050,1,0.44,-1.27,44,Fall
430250,1,0.52,0.08,87,Fall
430450,1,0.59,0.05,59,Fall
430650,1,0.66,0.09,78,Fall
430850,1,0.74,0.01,43,Fall
431050,1,1.0,-2.55,41,Fall
431250,1,0.74,-2.18,47,Fall
431450,1,0.56,-2.46,40,Fall
431650,1,0.31,-1.88,58,Fall
431850,1,0.17,-1.4,51,Fall
432050,1,0.29,0.08,99,Fall
432250,1,0.41,0.09,64,Fall
432450,1,0.52,0.03,66,Fall
432650,1,0.64,0.01,63,Fall
432850,1,0.76,0.24,74,Fall
433050,1,0.76,0.06,69,Fall
433250,1,0.77,0.08,52,Fall
433450,1,0.77,0.01,42,Fall
433650,1,0.79,0.01,46,Fall
433850,1,0.77,-0.8,58,Fall
434050,1,0.58,-1.82,41,Fall
